epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,42.8785,1.40867,0.91483,0.99633,0.26548,0.0099763,0.00332543,0.0099763,0.00332543,0.0099763,0.00332543,0.0099763,0.00332543
2,86.1793,0.50638,0.9615,0.99867,0.12802,0.0193171,0.00643903,0.0193171,0.00643903,0.0193171,0.00643903,0.0193171,0.00643903
3,129.151,0.41889,0.94233,0.99783,0.2,0.0279979,0.00933262,0.0279979,0.00933262,0.0279979,0.00933262,0.0279979,0.00933262
4,172.539,0.42898,0.971,0.99983,0.10159,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,216.299,0.3351,0.97117,0.999,0.09768,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,261.798,0.28103,0.97517,0.999,0.08991,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,306.634,0.26098,0.9775,0.9995,0.07849,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,347.997,0.24578,0.97983,0.9995,0.06705,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,390.207,0.22751,0.98,0.99967,0.06857,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,433.089,0.21556,0.97583,1,0.07275,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
