epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,41.9892,1.40644,0.93217,0.9965,0.2237,0.0099763,0.00332543,0.0099763,0.00332543,0.0099763,0.00332543,0.0099763,0.00332543
2,94.6572,0.51011,0.9555,0.99817,0.14679,0.0193171,0.00643903,0.0193171,0.00643903,0.0193171,0.00643903,0.0193171,0.00643903
3,138.06,0.45013,0.93667,0.99633,0.21174,0.0279979,0.00933262,0.0279979,0.00933262,0.0279979,0.00933262,0.0279979,0.00933262
4,180.314,0.45896,0.96867,0.99933,0.12006,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,223.703,0.32234,0.9755,0.99867,0.08471,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,265.631,0.2808,0.97867,0.999,0.07835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,307.205,0.25983,0.97783,0.9995,0.08528,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,349.851,0.23791,0.9795,0.9995,0.07275,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,391.428,0.22746,0.98067,0.99967,0.06718,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,433.219,0.21527,0.979,0.9995,0.06838,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,475.76,0.21288,0.979,0.9995,0.0677,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,517.582,0.20631,0.9825,1,0.05768,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,559.942,0.19613,0.97833,0.99967,0.06314,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,601.871,0.18752,0.98333,1,0.05252,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,644.095,0.18712,0.98683,1,0.04924,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,686.971,0.18156,0.98267,0.99983,0.05327,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,729.903,0.17027,0.98667,0.99983,0.04294,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,787.805,0.17185,0.98583,0.99983,0.04637,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,845.219,0.16492,0.98817,0.99983,0.04011,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,887.614,0.15721,0.98733,0.99983,0.03942,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,930.141,0.15581,0.98617,0.99983,0.04145,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,972.087,0.14884,0.98783,0.99967,0.04,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,1013.45,0.14151,0.9875,0.99983,0.03715,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,1055.89,0.14325,0.987,0.99983,0.03753,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,1098.43,0.1358,0.98883,0.99983,0.03493,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,1140.72,0.12939,0.989,0.99983,0.03323,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,1183.19,0.12438,0.9895,0.99983,0.03198,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,1225.79,0.12027,0.98967,0.99967,0.03206,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,1268.04,0.11973,0.98917,0.99983,0.03269,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,1310.66,0.1106,0.98933,0.99983,0.03227,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
